name,score
东京喰种re,--
无敌英雄,--
百变球球,5.1
超级英雄世纪,--
零之轨迹,9.0
沉睡之间,--
杀戮天使,9.0
Kio的人间冒险,7.2
模拟人生4童乐房间,--
鬼畜天线宝宝2,9.6
雷电5,7.1
魔方世界,8.2
铲子骑士,8.1
GT5,--
幽灵主义,7.5
尼尔：伪装者,--
12Switch,7.1
龙魂时刻,3.2
机战OG月球居民,8.7
纪元2205,8.4
星际2：虫群之心,9.3
模拟火车2015,--
孤胆枪手2：征兵,9.5
英雄无敌5,9.5
忍者之刃,7.0
幻想三国志4,9.1
光之镇,--
侠隐阁,--
突破,--
勇者斗恶龙建造者2,--
无名之辈,--
双截龙4,7.1
菲丽丝工作室,8.3
机动战士敢达OL,6.5
AC编年史：中国,6.3
地狱潜者,8.6
虚拟偶像：超级索尼子,9.3
死亡岛：激流,8.5
神鬼寓言3,8.0
武林志,--
光明之响：龙奏回音,7.3
UFC 3,--
火星求生,--
光环战争,7.2
跑跑卡丁车,8.3
求生指南2,8.6
装甲战争,7.3
巫师4,--
三国赵云传,9.2
半条命,8.0
侠盗猎车手2,7.8
光环,9.2
生化奇兵2,8.6
无夜之国,7.7
生化危机3：重制版,--
SNK女中豪杰：狂暴双打,--
约会大作战HD,--
神奇小子：龙之陷阱,5.1
星之卡比星球机器人,--
疯狂的麦克斯2,--
重建核心,7.4
最终幻想：零式HD,8.5
盟军敢死队2,9.4
如龙3,8.3
战国无双4,--
孤岛惊魂3：血龙,8.1
时光之帽,8.9
剑风传奇无双,7.6
玩具熊的五夜后宫,8.0
数码宝贝：生存,--
海底大猎杀,--
阴阳师Steam版,6.1
巡警,9.3
进击的巨人逃出死地,--
我是面包,7.0
Nether: Resurrected,8.2
终结者：救世主,--
模拟农场19,--
战石,--
归于沉寂,6.1
热血物语地下世界,8.9
妖精剑士F邪神降临,7.0
最终幻想8,8.8
FIFA 14,--
波斯王子4：重生,8.4
祖先遗产,--
龙珠Z：突破极限,--
鬼武者重制版,--
超人：世界最佳拍档,--
众神：解放,--
光明重影,7.7
加拿大不归路,8.4
高达破坏者3,8.5
光环：士官长合集,9.4
超级马里奥3D世界,8.9
NBA 2K10,8.4
孤岛危机：弹头,8.5
寂静岭3,9.3
德军总部：新血脉,--
超级龙珠Z,--
不朽之城,--
暗黑破坏神4,--
龙珠卡卡卡牌,--
刀剑封魔录,9.3
极品飞车11,7.7
小龙咖啡厅,8.9
十字军之王2,9.4
机械巫师,6.6
圣斗士星矢,9.1
黑镜,7.5
海之号角2,--
小恶魔附体,--
反恐精英：零点行动,8.8
荣誉勋章：战士,7.9
模拟人生4：星梦起飞,--
枪、血、黑手党,8.3
太空战舰：死亡之翼,7.4
半人马之星,--
马克思佩恩4,--
龙珠Z：武斗传,--
被尘封的故事,8.4
英雄萨姆2,8.4
雨血前传：蜃楼,8.7
实况足球2014,--
塞伯利亚之谜3,6.5
七远去的日子,8.0
轰炸机小队,8.1
影之刃Zero,--
异度之刃X,8.2
精英：危险,--
轩辕剑3,9.4
丧尸围城2绝密档案,7.6
荒神,8.7
H.A.W.X鹰击长空,--
夏之扉：最后的圣骑士,7.5
工业崛起,--
村长征战团,8.0
伤害世界,7.8
英杰传5,9.6
节奏地牢,8.9
实况足球2010,--
实况足球2012,--
战争前线,9.2
火爆狂飙：天堂,8.6
摩托GP 15,--
电竞传奇,6.3
文嘉,8.5
甜蜜软妹子,--
龙腾世纪4,--
拳击俱乐部,--
三国群侠传,9.5
战锤40K：战争黎明2,8.1
AC编年史：俄罗斯,7.5
战锤40K审判者,--
福尔摩斯：罪与罚,8.3
杀手已死,7.3
达喀尔18,--
穿越火线火力全开,--
大金刚国度热带寒流,8.7
地铁2035,--
Re：从零开始,--
巨兽战争,--
天使帝国4,7.7
公路救赎,8.8
模拟人生3：夜生活,--
生化危机7：初始时刻,--
LEFT ALIVE,--
超自然9人组,--
火源计划,5.2
脱逃者行尸走肉,--
僵尸,--
极限脱出3,9.2
妖精剑士F,7.7
吞食天地1重制版,--
合金装备3：食蛇者,9.3
战地1942,9.1
塞尔达无双,8.8
异形大战铁血战士2,9.1
轩辕剑外传：云之遥,8.2
艾文殖民地,8.2
终结将至,6.8
超级街道赛,--
Control,--
信使,8.9
红莲之王,--
辐射4VR,--
钢铁收割,--
九阴真经2,--
模拟人生4欢聚一堂,--
远星物语,8.6
海王星重生,--
侍道4,--
模拟农场15,--
绿巨人,--
家园2,9.6
忍者印记,8.7
功夫熊猫,8.3
塞尔达：众神的三角力量2,9.2
龙腾世纪2,7.8
如龙6,9.2
死亡边境2,--
新世界,--
ECHO,5.5
战争之人起源突击小队2,9.0
英雄无敌8,--
幽灵行动：幻影,--
无主之地传说,7.9
SOMA,8.1
光环2,9.3
永远的毁灭公爵,6.4
闪克2,7.8
失落的星球3,7.0
街头霸王X铁拳,--
罗马：全面战争,9.2
星球探险家,9.1
妄想症：Deliver Me,--
三色绘恋,8.7
高达战斗行动2,--
姐妹地点,--
本与艾德,--
哥斯拉VS,--
战争机器：终极版,8.4
上古卷轴：传奇,9.4
VR特警2,8.3
反恐精英：起源,8.3
轩辕剑4,8.8
光环：致远星,9.0
狂怒,8.0
小小大星球3,8.0
勇者斗恶龙：英雄,7.7
堡垒：火焰之炼,--
死亡花园,--
盖瑞模组,9.4
深岩银河下潜,--
船长漂流记,--
无畏,--
东京迷城eX+,8.1
方根书简,7.4
战国BASARA4：皇,9.2
孤胆枪手,8.7
剑侠情缘2,8.6
荣誉勋章：联合袭击,8.9
重卡驾驶模拟增强,--
重卡驾驶模拟增强,--
新流星搜剑录,8.5
钢铁侠2,--
超龙珠Z,--
超级街霸4：街机版,--
星之海洋4,8.0
最终幻想13-2,7.5
洪潮之焰,7.3
洛克人X遗产合集,8.8
心动文学俱乐部！,9.6
侍道3,--
家园卡拉克沙漠,8.0
昏迷,--
刺客信条：解放HD,6.6
荣誉勋章：血战太平洋,7.5
鬼武者3,8.9
行尸走肉：400天,8.6
变形金刚2,--
过山车大亨世界,8.3
刺客信条印度,7.3
旗帜的传说3,--
诸神灰烬：救赎,--
牧场物语希望之光,--
红石遗迹,6.8
明星志愿4,--
城市帝国,7.0
模拟人生4：来去上班,--
海之号角神秘海怪,7.8
真三国无双6：帝国,--
光环3,9.3
蜘蛛侠3,8.6
刺客信条3：解放,7.0
超级房车赛：起点,7.6
波斯王子3,8.6
暗黑之门：伦敦,6.3
面条人,--
火炬之光：前线,--
女装妹妹从没少过麻烦,--
恶魔城月下夜想曲,9.3
少女与战车梦幻大会战,--
苍翼默示录交叉组队战,--
创世纪阿尔法一号,--
模拟人生4外出用餐,--
警察10-13,--
怪物猎人4G,8.9
重返德军总部,9.2
镜之边缘2,--
模拟城市4,--
古墓丽影十周年纪念版,9.1
伊苏7,8.4
恶魔城：暗影之王,7.7
无畏战舰,--
奥西里斯新黎明,9.0
罪恶装备启示者,7.5
少女前线,9.5
妈妈模拟,--
墨西哥英雄大混战2,8.0
巅峰战魂,8.0
摩托GP17,--
劳拉GO,7.3
除夕KILLX,--
王国保卫战前线,9.0
废墟,7.6
信长之野望15,--
NBA Live 16,--
合金弹头收藏版,--
信长之野望13：天道,--
波斯王子2,9.1
谋杀：灵魂疑犯,6.9
福尔摩斯：恶魔之女,7.7
麦登橄榄球19,--
致命十二人,--
噗哟噗哟VS俄罗斯方块,9.1
库尔斯克,--
庇护所,--
乐高星球大战原力觉醒,7.3
口袋妖怪：革命,--
鬼泣,7.8
蓝金,--
拳皇12,--
NBA 2K8,--
波斯王子：时之砂,8.9
超级食肉男孩,7.2
狂野西部：枪手,8.7
寂静岭：暴雨,--
寂静之人,4.9
迈阿密热线2,9.1
哥萨克3,8.2
第五人格,8.6
王权：权力的游戏,7.7
乐高DC超级反派,--
火爆狂飙：天堂重制版,9.0
诸神之战,--
寇莎梅特困世迷情,6.0
天穗的长命草姬,--
罪恶装备启示者2,--
斩毒黑与白,3.7
四女神Online,--
少女射击,--
三国战纪,--
终极蜘蛛侠,--
微软模拟飞行10,--
MLB 2K9,--
勇者斗恶龙X,--
十三号星期五：杀手谜题,8.3
杀手GO,6.0
废土2,8.2
60秒差距,7.4
斩服少女：异布,--
巴比伦陷落,--
暴走机甲,6.4
东方凭依华,--
散兵坑,--
洛克人ZX前传,--
扣押,8.8
情怀奇迹,6.0
未上锁的房间2,8.2
收获日3,--
我是刹那,7.7
穿越火线2,--
蛮荒搜神记,--
洛奇英雄传,7.7
枪神纪,6.6
极品飞车3,8.7
罪恶王冠：失落的圣诞,--
剑勇传奇：忍者龙剑传Z,6.3
钢铁侠,--
秋之回忆7,9.3
帝国时代2HD,9.3
野兽大战模拟器,--
别敲两次门,--
地球防卫军5,--
中土世界暗影魔多2,--
模拟农场16,--
拳皇98：终极对决,--
黑道圣徒：杀出地狱,7.3
暴力摩托,8.7
哥斯拉,--
外科模拟2013,--
除暴战警3,--
天龙八部：傲立中原,8.5
马克思佩恩2,8.9
上古5：黎明守卫,9.2
幽浮：未知敌人,9.2
御天降魔传,5.6
怪物猎人便携版2G,--
乐高旋风忍者大电影,--
足球经理2019,8.2
索尼克狂欢,--
潜行者切尔诺贝利的阴影,9.3
模拟警察18,--
Daemon X Machina,--
帝国分裂,--
源震：黑暗黎明,--
准备突击,--
死亡十二人,--
死亡净化爆发,--
滚开,--
世界3,--
永恒魔法,--
硬核机甲,--
初音歌姬计划X,8.9
不法之徒,--
光环6,--
反恐精英Online2,8.0
逆转裁判5,--
雷神之锤3,8.9
杀手2：沉默刺客,9.0
极限竞速：地平线,--
三国群英传4,--
极品飞车10,8.5
失落的星球,7.0
杀戮地带：暗影坠落,6.5
红色派系：游击战,--
极度恐慌3,8.0
半神,8.1
元气骑士,9.3
成长家园2,6.5
圣域2：堕落天使,--
香肠派对,--
恋爱模拟器,--
黑客网络,9.3
8位军队,--
暴行,7.8
羞辱：终极版,8.5
塔科马,7.5
死或生5：终极版,--
热血进行曲大运动会,--
真三国无双5：帝国,--
微软模拟火车,--
战斗砖块剧场,9.1
纳克,7.0
神鬼寓言,8.0
龙珠：怒气爆发,--
伊苏：起源,9.2
幽灵行动：尖峰战士2,--
巴士模拟2,--
劳拉与光之守护者,7.7
拯救者,6.1
逃离方块：悖论,8.8
光哭是不够的,--
Satisfactory,--
旅行青蛙,8.0
飞行模拟世界,--
帝国时代2HD,--
桃与多拉,8.5
模拟火车2016,--
海贼王大海贼斗技场,--
苏菲的炼金工房,8.3
数码宝贝新秩序,--
席德梅尔：星际战舰,--
三国赵云传之纵横天下,8.9
玩具兵大战2,8.8
龙鳞化身,--
城堡毁灭者,8.4
三角洲黑鹰坠落,8.7
激战2,8.3
星球大战：前线2,--
半条命2：第二章,9.2
兽人必须死单机版,7.5
猫头鹰男孩,7.7
初体计划2,7.2
不要喂食猴子,7.7
黑暗之魂4,--
完美的一天,--
任天堂Labo,7.5
电竞人生,--
子弹少女幻想,--
武器店物语,8.5
超级炸弹人R,7.1
金庸无双2,7.3
H1Z1只求生存,--
失落之魂,--
面容,--
奥森弗里,8.6
东京暗影,--
时空幻境,9.3
抢滩登陆战2000,7.6
新剑侠情缘,8.9
马克思佩恩,8.6
与狼同行,8.6
模拟人生3：春夏秋冬,--
最后的遗迹,8.7
死光,--
战锤40K角斗士,--
战场女武神苍蓝革命,5.4
地下城3,--
冥河黑暗碎片,7.5
我们的回忆,8.2
丛林法则,--
吉格斯电玩爆破,--
魔物讨伐团,7.8
上帝之城监狱帝国,9.5
电竞俱乐部,--
月影之塔,--
黄昏公主HD,9.0
无境世界,7.5
模拟人生4：冰酷厨房,--
家园：破舰者,--
维克多弗兰,9.1
模拟人生4：露天度假,--
豚鼠特工队,--
模拟人生3：天堂岛,--
极限竞速3,--
战士：二战英雄,--
模拟人生2：夜生活,--
泰坦之旅,--
越狱：阴谋,--
掠食2,--
永恒边缘,--
恶魔之魂,--
细胞分裂4,8.4
了不起的修仙模拟器,--
终极钓鱼模拟器,8.0
碧蓝航线,9.4
Unworthy,7.1
枪，血，黑手党2,8.8
战斗厨师旅团,7.6
Atomega,--
我的杀手朋友蕉,--
圣女之歌零,4.1
忍者神龟曼哈顿突变,--
战国无双4：帝国,--
失落的遗迹,--
突击风暴2,--
权力的游戏,6.6
最后一炮,8.6
太空工程师,--
泰坦尼克号：荣耀,--
二战狙击手,--
模拟人生2：大学生活,--
战锤40K：星际战士,7.9
边缘战士,6.2
伊森卡特的消失,8.2
共和国,--
破门而入战术小队,--
以撒的结合：忏悔,--
异化之地,6.7
少女射击2,--
深空遗物,7.1
亦春秋,--
桃子弹球闪乱神乐,--
时光之塔,--
2Dark,9.0
初音歌姬计划FT,9.6
林中之夜,7.8
生化危机：起源合集,8.2
信长战国立志传,7.8
祖先：人类史诗,--
勇者斗恶龙8,--
龙之谷,8.1
盟军敢死队使命召唤,8.7
精灵鼠传说,--
黑色：坠落,--
新次元游戏：海王星V2,8.9
声名狼藉：破晓,--
伊苏：树海,9.2
吟诵者,--
破门而入,--
秦殇,9.2
日落过载,--
九阴真经OL,6.9
终极格斗冠军,--
龙珠Z：终极天下,--
新仙剑XP版,8.9
狙击精英,--
GT6,--
彩虹六号：爱国者,--
欧米茄迷宫Z,--
魔法门之英雄无敌4,--
拣爱,--
尘埃拉力赛2.0,--
末日方舟,6.5
封闭的噩梦,--
不祥的预感,--
圣剑传说2重制版,--
德军总部3,--
阿尔戈,--
迷你机车世界大赛,--
NBA游乐场,7.4
秘境对决,7.5
第一舰队,--
自然之力,--
难死塔,--
盗墓笔记,4.5
东京42,5.8
火影忍者最强忍界决战,--
70号巴希尔之眼,--
女主角梦幻格斗,--
淹没,--
心灵杀手2,--
幻世录,--
耀西的毛线世界,--
乐高幻影忍者,--
幻想三国志2,8.6
风色幻想5,--
无限试驾,8.5
海贼王无双,--
无限试驾：法拉利,--
讨鬼传,8.3
洛川群侠传,5.8
钢铁之鼠,--
单程票,6.5
巨型水族馆,7.1
The Cycle,--
突变元年伊甸园之路,--
淘金热,--
艾兰岛,--
911接线员,7.5
七大罪真实的冤罪,9.3
松果体,--
Fe,--
战争年代,--
直到黎明血戮,--
海王星重生3,--
失落的记忆,--
写真女友Kiss,--
三国志5,--
剑侠情缘外传,8.5
闪电战3,--
逃离死亡岛,--
梦日记,--
冒险岛Online,9.1
暗黑破坏神,8.9
蜘蛛侠2,--
合金装备2：实体,--
战地2142,8.4
彩虹六号：维加斯2,8.2
龙之皇冠,8.8
闪克,7.6
尘埃：决战,--
异域镇魂曲加强版,8.2
战锤：末世鼠疫,--
寂静岭4：房间,--
潜行者2,--
FIFA 13,--
恶魔狩猎,--
以撒的结合：四魂,--
零世代,--
迷雾侦探,--
百鬼城,5.6
病号,--
舞力全开2018,8.4
老人之旅,--
耻辱之日,--
轮回与梦之旅人,--
极限脱出九人游戏,8.9
废土3,--
仙剑VR,--
火箭鸟2进化,6.8
钢铁战队,--
英雄联盟竞技场,--
魔界战记,--
赛道狂飙：涡轮,--
节奏天国The best+,9.2
超次元ACT：海王星U,--
三国志2,--
寂静岭,--
拳皇98,9.1
英雄传说晓之轨迹,--
皇牌空战6,--
吞食天地2重制版,--
薄暮传说,--
辐射2,9.1
风色幻想6,--
秋之回忆4,--
蝙蝠侠：黑门,--
半条命：恐惧之泣,--
玩具士兵,--
极度恐慌2,8.5
金融帝国2,--
范海辛的奇妙冒险,6.9
范海辛的奇妙冒险,6.9
料理模拟器,--
儿子,--
乐高超人总动员,--
SCP：秘密设施,--
魂斗罗2028,--
铁路帝国,--
最后一个坐着的人,--
命运石之门精英,--
我们身边的狼第二季,--
达尔文计划,--
网球世界巡回赛,--
雨中冒险2,--
临终重生试炼,--
怪物猎人边境Z,--
生化奇兵收藏版,9.1
超级街霸43D,--
新手指南,--
牧场物语：记忆的种子,--
合金弹头,9.2
苍翼刻之幻影扩展版,--
轩辕剑8,--
封印者,8.6
模拟火车：新时代,--
AQP之城,--
孤胆枪手：复仇,--
微软模拟飞行2002,--
无光之海,--
新绝代双骄3,9.1
任天堂明星大乱斗3DS/WiiU,--
实况足球2009,--
NBA 2K Online,--
荣誉勋章：先头部队,8.7
整蛊邻居,8.4
伊苏6,--
幽灵行动：荒岛雷鸣,--
幽灵行动,8.7
整蛊邻居2,--
半条命2：第一章,9.4
噬神者2,--
上古卷轴5：炉火,8.0
行尸走肉：生存本能,--
战神2重置版,--
创造与魔法,9.4
领地人生林中村落,--
纪元2070,--
地牢围攻3,--
极乐地狱,--
街头霸王30周年,--
半条命2第三章,--
毁灭战士VFR,--
Shinobi Refle闪乱神乐,--
死亡同盟,--
龙珠Z终极之战,--
恶魔城李卡德编年史2,--
未满18岁请勿进入,--
猫忍之心,--
蝙蝠侠：重返阿卡姆,--
最终幻想6,--
火炬之光3,--
乌拉尔山,--
夜下降生ExeLate,7.6
勇闯银河系,7.6
滑板3,--
世纪之石,--
凡尔登战役,--
异形大战铁血战士2,--
永不孤单,7.6
灵魂献祭Delta,8.5
杀手3：契约,--
战火兄弟连地狱公路,9.0
灰烬,--
要塞：十字军东征,--
模拟农场2013,--
红色管弦乐队2风起云涌,9.2
刀锋铁骑,4.5
荒野大镖客,--
万智牌2015,--
健身房模拟器,--
预兆景象,8.0
漫展模拟器,--
迸发2,--
代号W,--
全金属狂潮：谁与争锋,--
拳皇15,--
创世纪,--
神偷5,--
影子里的我,--
欧洲模拟航船,--
蝙蝠侠阿卡姆VR,--
CHKN,--
梦幻西游电脑版,5.0
光环7,--
最终幻想10,8.3
银河历险记3,--
成长家园,--
东京迷城,--
无主之地OL,--
混沌之子,8.0
GT7,--
挖掘机模拟,--
大话西游2免费版,--
让它去死,--
RE：代号维罗妮卡,8.8
真三国无双4：帝国,--
灰蛊,--
欧米茄五重奏,--
崛起3：泰坦之王,--
声名狼藉2,--
蓝色警戒2：战争狂人,7.2
刀剑封魔录外传,9.3
奇点,--
纳粹僵尸部队,--
进化之地,9.3
争分夺秒,8.4
两个世界2,--
潜行者：晴空,--
我不是怪物,9.2
江湖求生,--
CRYEP,8.5
月圆之夜,9.3
女巫猎人,8.4
战镰：数字版,7.2
英雄与将军,--
被虐的诺艾尔,--
原子之心,--
罗博造造,--
少林九武猴,--
Lucy她所期望的一切,--
另一只科研狗,8.2
旁观者2,--
真女神转生V,--
欧洲钓鱼模拟,--
影之诗,8.6
聚爆,--
银河战士4,--
消失的星球,--
机动战士高达VS,--
东津萌米,--
没有人知道的大冒险,8.7
疯狂派对谋杀案2,--
从军,--
狂热运输,--
重走长征路,--
诞生,--
东方计划不可思议的幻想乡,9.0
雷神之锤冠军对决,--
F1 2015,--
光环OL,--
OSU!,--
她的故事,--
哥特舰队阿玛达,--
纸境,--
RE：暗黑编年史,--
美国陆军3,--
神之浩劫,8.5
公用车辆模拟2012,--
光明之响,--
兽人必须死,--
极品飞车,--
远行星号,--
避难所2,--
战神4：艾瑟里亚英雄,--
自由战争,--
鬼武者,9.4
商场大亨3,--
盟军敢死队4,6.4
模拟人生2：公寓生活,--
雷曼：起源,9.0
2012伦敦奥运会,--
杀手5：狙击挑战,--
卢修斯,--
兰博：游戏版,5.8
阴阳师,8.3
俄罗斯方块：效应,--
赏金奇兵3,--
垃圾场模拟器,--
Survisland,--
我的朋友佩德罗,--
Temtem,--
战争仪式,8.8
医院计划,--
凡人不朽,--
无限坦克,--
孤胆枪手TD,--
瘟疫传说：无罪,--
秋叶原之旅Festa,--
Chuchel,--
暗黑3战斗合集,--
大逆转裁判2,--
暴走装甲,--
堕落军团,7.2
少林与武当,--
死亡空间撤离,--
12比6好,7.8
极品飞车极限边缘,--
Jump全明星乱斗+,--
飙酷车神：狂野竞速,--
胖公主历险记,--
蜘蛛侠,--
剑灵2,--
炎龙骑士团,9.1
三国志3,--
三国志2,--
合金弹头3,--
喷射美少女,--
塞尔达传说WiiU,--
逆转裁判123,9.1
恶灵猎杀,--
BEN10：终极异形,--
侏罗纪公园基因计划,--
极品飞车8：地下狂飙2,9.4
僵尸毁灭工程,--
大富翁8,--
轩辕剑5,--
战争之人：赤潮,--
红色管弦乐队2斯大林格勒英雄,--
浴火银河2HD,--
造物主,--
抢滩登陆战2002,--
昏迷切割,--
博德之门,--
战舰少女r,9.5
银河文明3,--
蝙蝠侠：阿卡姆宇宙,--
失眠：方舟,--
想不想修真：凡人传说,8.9
卡普空清版动作游戏合集,--
黑暗之魂三部曲合集,--
梦幻模拟战1+2,--
狙击手：幽灵战士契约,--
部落冲突皇室战争,9.1
现代战争：尖峰对决,--
战锤混沌祸根,--
三竹里,5.4
火星记忆,--
尼洛,--
纠缠之刃,--
为了国王,--
告白日,--
罪恶少女诱惑,6.5
牧场物语美妙人生,--
原始旅程,--
啪嗒砰,--
漫威末日竞技场,--
北地,--
心境,--
瓢虫之年,--
超次元游戏海王星,--
小红帽的逆袭,--
光明格斗,--
Furi,--
热血高校燃烧边缘,--
罪恶少女2,--
世界汽车拉力锦标赛5,--
精神病院,--
失落的双鱼座,--
铁拳X街头霸王,--
潜行者：启示录,--
Flower,--
破坏者,--
无尽梦魇,--
大逆转裁判,9.0
伟大时代：中世纪,--
施工模拟2012,--
胧村正,9.5
出包王女Darkness,--
真三国无双2,--
合金装备：和平行者HD,--
死或生：多重维度,--
X战警2,--
圣域3,--
新倩女幽魂,--
虹色旋律,--
曙光,--
斑鸠,--
怪物猎人3G,--
游戏王混乱之力内篇,--
过山车大亨3,--
帝国时代3：酋长,--
忍者神龟2007,--
洞穴探险,--
WWE2K14,--
狙击手：胜利的艺术,--
荣誉勋章：突出重围,8.2
水果忍者高清版,--
植物精灵,8.6
心灵杀手：美国噩梦,5.8
风色幻想XX,--
范海辛终极剪辑版,7.5
阴暗森林,--
地下城2,--
万众狂欢,--
我的世界：地牢,--
电竞传奇手游,--
流星蝴蝶剑手游,--
GRIS,--
Deracine,--
星球大战绝地：堕落秩序,--
屎命召唤,--
高达极限对决2,--
爆击艺术2,--
闪乱神乐Burst Re：Newal,--
死亡之屋血色黎明,--
终结者2审判日,--
塞尔达传说：时之笛,--
终极将军内战,--
我的工厂,--
人猿星球最后边疆,--
纯粹农场2018,--
地下城寻求邂逅是否搞错了什么,--
佐迪亚克斯之子,--
弥漫,--
银河战士萨姆斯归来,--
超级幸运传说,--
无主之地传说第二季,--
极道,--
QQ炫舞,--
抓住第三者,--
撕裂,--
街头大乱斗进行曲,--
沙盒进化,--
莫比乌斯最终幻想,--
新斗将魂,--
影武者,--
热血三国3,--
星际远征,--
歌利亚,--
天衍录,7.0
愤怒的小鸟2,--
天下3,--
知觉,--
灰色的果实,--
星之海洋5,--
阿门罗,--
泰坦之魂,--
堕落之王2,--
塞尔达姆吉拉的假面3D,--
爬行者,--
反击间谍,--
盗墓密城,--
模拟农场14,--
未上锁的房间,--
石油大亨,--
电击文库FC,--
Guns Up,--
傲世三国,8.8
劳拉和奥西里斯神庙,--
海王星重生2,--
野生动物园大亨2,--
灵魂能力5,--
战争机器2,--
杀手：代号47,--
光环：斯巴达突袭,--
坎贝拉：职业狩猎,--
桥,--
盟军敢死队3,8.0
星之卡比三重奏,--
高达无双3,--
富甲天下5,--
极度恐慌,--
掠食,--
模拟人生2：豪华版,--
被遗忘的帝国HD,--
粘粘世界,8.6
战争之人,--
最高指挥官2,--
纳粹僵尸部队2,--
战争机器3,--
魔窟冒险,--
金庸无双,--
虚幻竞技场3,--
.hack,--
路易鬼屋2,9.3
骑马与砍杀,--
绝对征服2,--
电击文库零境交错,8.9
科学格斗,--
大厦管理者,6.6
彩虹坠入,--
九霄奔云传,--
环形帝国,--
基因雨,--
砖块迷宫建造者,--
模拟巴士18,--
巫师布鲁克,--
黑河镇,--
Egress,--
目标实验室,--
初音未来VR,--
永远消失的幻想乡,--
星之卡比大逃杀,--
隐藏日程,--
洛克人遗产收藏版2,--
弗兰的悲惨之旅,--
科纳风暴,--
漫威英雄欧米茄,--
永恒2失落的城堡,--
奇迹MU,--
Summer Pockets,--
乌鸦森林之谜3,--
家园Townsmen,--
魔域,--
地球黎明,7.8
女子高生僵尸猎人,--
VestariaSagaI,9.0
里奥的财富,--
英雄就是我,--
诺亚方舟编年史,--
功夫熊猫传奇对决,--
逗比人生,--
机动战士高达：EXTREME.VS FORCE,--
大众高尔夫,--
求生指南：第三人称,--
最终幻想,--
后悔旅馆,--
镇魔曲,--
秦殇2,--
突击英雄,--
原始杀戮：灭绝,--
模拟驾驶2009,--
萌萌小人大乱斗,--
异化,--
模拟饭店2,--
4x4越野赛车2,--
白色相簿,--
部落冲突,--
18轮卡车司机2,--
梦幻模拟战2,--
新剑侠传奇,--
第三次超级机器人大战Z：时狱篇,--
火焰限界,--
刺客信条5,--
超越善恶,--
真倚天屠龙记,--
战地：越南,--
战火兄弟连进军30高地,--
地牢围攻2,--
战火兄弟连浴血奋战,--
蜘蛛侠：敌友难辨,--
塞尔达风之杖HD,--
黑暗孢子,--
王牌英雄,--
三位一体2,--
怪物猎人4,--
饥饿鲨：世界,--
奇点灰烬,--
博德之门2安姆的阴影,--
暴力辛迪加,5.6
绝地求生全军出击,--
忍者必须死3,9.3
穿越火线手游,--
阿瑞斯病毒,--
淘汰2,--
模拟火车2018,--
事故,--
美妙世界 Final Rimix,--
夜光,--
尤库的小岛速递,--
与你在一起VR,--
俏皮脸,--
脑叶公司,--
议会,--
最终幻想核心危机,--
锈湖天堂,--
怀疑,--
女巫,--
海贼王冒险的黎明,--
海贼王冒险的黎明,--
星盟冲突,--
生命线,7.8
内有丧尸,--
巨人约顿,--
行会3,--
双截龙2,--
南方公园浣熊侠联盟,--
百战天虫WMD,--
漫画英雄终极联盟2,--
真恋寄语枫秋,--
起重机模拟2009,--
秋叶原之击,--
征三国,8.0
越野摩托2,--
孤独之海,--
急难先锋2016,--
文明太空潮起,--
逆转裁判6,--
RPG制作大师MV,--
战国BASARA：真田幸村传,--
尸体派对血色笼罩,--
魔龙世界,--
女神异闻录4,--
乐高：次元,--
星际殖民2,--
战争召唤,--
杀出重围：宇宙,--
塔洛斯的法则,--
夏色高校,--
玩具熊的五夜后宫2,--
最终幻想：零式,--
光环：斯巴达进攻,--
高达破坏者2,--
三国志7,--
罪恶装备Xrd,--
NBA Live 15,--
冥河暗影大师,--
牵引卡车模拟2010,--
EVE：瓦尔基里,--
双星物语,--
雨血：死镇,--
英雄连2：西线军团,--
极品飞车6热力追踪2,--
无冬之夜,--
三国霸业2,--
坎贝拉越野赛车3,--
上古卷轴3：晨风,--
像素鸟,--
三角洲：军刀部队,--
头文字D：山口复仇,--
雷神之锤4,8.2
武装突袭,--
翡翠帝国特别版,--
幽灵行动：尖峰战士,--
鬼刃,--
新绝代双骄之鱼戏江湖,--
乐高哈利波特第1-4年,--
猎杀潜航5,--
战争之人：突击小队,--
模拟人生3：主卧室组合,--
侏罗纪公园,--
弹丸论破1+2：填装,--
模拟人生3：邪恶力量,--
英雄萨姆3尼罗河宝藏,--
神鬼寓言2,--
风卷残云,--
但丁的地狱,--
末日拾荒者,--
工人物语8,--
超级龙珠英雄：世界任务,--
聚爆手游版,--
尸体派对,8.4
信长之野望：大志威力加强版,--
光之子2,--
拯救大魔王3：反人类联盟,--
Vigor,--
秘密邻居,--
血迹月之诅咒,--
迷失岛2：时间的灰烬,--
传颂之物：斩,--
龙之皇冠Pro,--
牧剑：化神书,--
42中队,--
大金刚,--
尾牙,--
记忆之歌,--
魔法书有翅典范的预兆,--
死亡终局：轮回试炼,--
海王星VS世嘉主机少女,--
战神阿修罗,--
杀戮地带5,--
泰坦陨落OL,--
超级马里奥银河3,--
急难先锋2017,--
魔界战记2,--
双重宇宙,--
饿狼传说狼之印记,--
英雄战姬,--
死亡岛原始复仇,--
OPUS地球计划,--
小小冒险村,--
小镇惊魂黑暗守护者,--
巨神狩猎,--
克林巴,--
脏弹,--
